Time (days),Moon X Position (m),Moon Y Position (m),Moonlet1 X Position (m)),Moonlet1 Y Position (m),Moonlet2 X Position (m),Moonlet2 Y Position (m),L5 X Position (m),L5 Y Position (m)
103,383999985.5461803,105359.06854206944,768000000.0,106381.9734548925,778000000.0,106381.9734548925,191999992.7722299,91243.62987206026
104,383999985.2641612,106381.97209410463,768000000.0,107404.87704580494,778000000.0,107404.87704580494,191999992.63122037,92129.49033370137
105,383999984.97941726,107404.87564538488,768000000.0,108427.78063671736,778000000.0,108427.78063671736,191999992.4888484,93015.35079468871
106,383999984.69194853,108427.77919590304,768000000.0,109450.6842276298,778000000.0,109450.6842276298,191999992.34511402,93901.21125501605
107,383999984.401755,109450.68274565178,768000000.0,110473.58781854222,778000000.0,110473.58781854222,191999992.20001724,94787.07171467706
108,383999984.10883653,110473.58629462392,768000000.0,111496.49140945464,778000000.0,111496.49140945464,191999992.05355802,95672.93217366548
109,383999983.8131934,111496.4898428121,768000000.0,112519.39500036706,778000000.0,112519.39500036706,191999991.90573645,96558.792631975
110,383999983.5148253,112519.39339020917,768000000.0,113542.29859127948,778000000.0,113542.29859127948,191999991.7565524,97444.65308959938
111,383999983.2137324,113542.29693680776,768000000.0,114565.2021821919,778000000.0,114565.2021821919,191999991.60600597,98330.51354653227
112,383999982.9099148,114565.20048260066,768000000.0,115588.10577310433,778000000.0,115588.10577310433,191999991.45409715,99216.37400276742
113,383999982.6033723,115588.10402758064,768000000.0,116611.00936401675,778000000.0,116611.00936401675,191999991.3008259,100102.23445829855
114,383999982.294105,116611.00757174043,768000000.0,117633.91295492917,778000000.0,117633.91295492917,191999991.14619225,100988.09491311938
115,383999981.98211277,117633.91111507277,768000000.0,118656.81654584159,778000000.0,118656.81654584159,191999990.99019614,101873.95536722359
116,383999981.66739583,118656.81465757037,768000000.0,119679.72013675404,778000000.0,119679.72013675404,191999990.83283767,102759.81582060493
117,383999981.34995407,119679.718199226,768000000.0,120702.62372766648,778000000.0,120702.62372766648,191999990.6741168,103645.67627325708
118,383999981.0297874,120702.6217400324,768000000.0,121725.52731857891,778000000.0,121725.52731857891,191999990.51403347,104531.5367251738
119,383999980.706896,121725.52527998228,768000000.0,122748.43090949133,778000000.0,122748.43090949133,191999990.35258776,105417.39717634876
120,383999980.38127977,122748.42881906845,768000000.0,123771.33450040377,778000000.0,123771.33450040377,191999990.18977964,106303.25762677568
121,383999980.05293864,123771.3323572836,768000000.0,124794.23809131619,778000000.0,124794.23809131619,191999990.02560908,107189.1180764483
122,383999979.72187275,124794.23589462048,768000000.0,125817.14168222861,778000000.0,125817.14168222861,191999989.86007613,108074.9785253603
123,383999979.388082,125817.1394310718,768000000.0,126840.04527314106,778000000.0,126840.04527314106,191999989.69318077,108960.83897350541
124,383999979.0515665,126840.04296663035,768000000.0,127862.9488640535,778000000.0,127862.9488640535,191999989.524923,109846.69942087735
125,383999978.7123261,127862.9465012889,768000000.0,128885.85245496593,778000000.0,128885.85245496593,191999989.3553028,110732.55986746984
126,383999978.370361,128885.85003504012,768000000.0,129908.75604587837,778000000.0,129908.75604587837,191999989.18432024,111618.42031327658
127,383999978.0256709,129908.75356787677,768000000.0,130931.65963679079,778000000.0,130931.65963679079,191999989.0119752,112504.28075829128
128,383999977.6782561,130931.6570997916,768000000.0,131954.5632277032,778000000.0,131954.5632277032,191999988.8382678,113390.14120250766
129,383999977.3281164,131954.56063077739,768000000.0,132977.46681861568,778000000.0,132977.46681861568,191999988.66319796,114276.00164591946
130,383999976.9752519,132977.46416082678,768000000.0,134000.37040952808,778000000.0,134000.37040952808,191999988.4867657,115161.86208852036
131,383999976.61966264,134000.36768993264,768000000.0,135023.2740004405,778000000.0,135023.2740004405,191999988.30897108,116047.72253030406
132,383999976.2613485,135023.2712180876,768000000.0,136046.1775913529,778000000.0,136046.1775913529,191999988.129814,116933.58297126432
133,383999975.90030956,136046.1747452845,768000000.0,137069.0811822653,778000000.0,137069.0811822653,191999987.94929454,117819.44341139482
134,383999975.5365458,137069.078271516,768000000.0,138091.98477317774,778000000.0,138091.98477317774,191999987.76741266,118705.3038506893
135,383999975.17005724,138091.98179677487,768000000.0,139114.88836409015,778000000.0,139114.88836409015,191999987.58416837,119591.16428914147
136,383999974.80084383,139114.88532105385,768000000.0,140137.7919550026,778000000.0,140137.7919550026,191999987.39956167,120477.024726745
137,383999974.42890555,140137.7888443457,768000000.0,141160.69554591505,778000000.0,141160.69554591505,191999987.21359253,121362.88516349366
138,383999974.05424255,141160.69236664314,768000000.0,142183.59913682748,778000000.0,142183.59913682748,191999987.02626103,122248.74559938113
139,383999973.67685467,142183.59588793892,768000000.0,143206.50272773995,778000000.0,143206.50272773995,191999986.8375671,123134.60603440115
140,383999973.29674196,143206.49940822576,768000000.0,144229.40631865239,778000000.0,144229.40631865239,191999986.64751074,124020.46646854741
141,383999972.9139044,144229.40292749647,768000000.0,145252.30990956482,778000000.0,145252.30990956482,191999986.45609197,124906.32690181365
142,383999972.52834207,145252.3064457437,768000000.0,146275.21350047726,778000000.0,146275.21350047726,191999986.2633108,125792.18733419354
143,383999972.1400549,146275.20996296027,768000000.0,147298.1170913897,778000000.0,147298.1170913897,191999986.0691672,126678.04776568085
144,383999971.7490429,147298.11347913888,768000000.0,148321.0206823021,778000000.0,148321.0206823021,191999985.87366122,127563.90819626924
145,383999971.35530615,148321.01699427224,768000000.0,149343.9242732145,778000000.0,149343.9242732145,191999985.67679283,128449.76862595248
146,383999970.9588445,149343.92050835319,768000000.0,150366.82786412694,778000000.0,150366.82786412694,191999985.478562,129335.62905472424
147,383999970.55965805,150366.82402137437,768000000.0,151389.73145503932,778000000.0,151389.73145503932,191999985.27896878,130221.48948257825
148,383999970.15774673,151389.72753332858,768000000.0,152412.63504595176,778000000.0,152412.63504595176,191999985.07801312,131107.34990950822
149,383999969.75311065,152412.63104420854,768000000.0,153435.53863686416,778000000.0,153435.53863686416,191999984.87569508,131993.21033550787
150,383999969.34574974,153435.534554007,768000000.0,154458.44222777657,778000000.0,154458.44222777657,191999984.67201462,132879.0707605709
151,383999968.935664,154458.43806271668,768000000.0,155481.345818689,778000000.0,155481.345818689,191999984.46697176,133764.93118469103
152,383999968.52285343,155481.34157033035,768000000.0,156504.24940960147,778000000.0,156504.24940960147,191999984.26056647,134650.79160786202
153,383999968.10731804,156504.24507684077,768000000.0,157527.15300051388,778000000.0,157527.15300051388,191999984.05279878,135536.6520300775
154,383999967.6890578,157527.14858224062,768000000.0,158550.05659142628,778000000.0,158550.05659142628,191999983.84366867,136422.51245133125
155,383999967.2680728,158550.0520865227,768000000.0,159572.96018233872,778000000.0,159572.96018233872,191999983.63317615,137308.3728716169
156,383999966.844363,159572.95558967968,768000000.0,160595.86377325116,778000000.0,160595.86377325116,191999983.42132124,138194.23329092833
157,383999966.4179283,160595.85909170436,768000000.0,161618.76736416362,778000000.0,161618.76736416362,191999983.2081039,139080.09370925906
158,383999965.9887688,161618.7625925895,768000000.0,162641.67095507606,778000000.0,162641.67095507606,191999982.99352416,139965.95412660294
159,383999965.55688447,162641.6660923278,768000000.0,163664.57454598846,778000000.0,163664.57454598846,191999982.777582,140851.81454295362
160,383999965.1222753,163664.56959091203,768000000.0,164687.47813690093,778000000.0,164687.47813690093,191999982.5602774,141737.67495830485
161,383999964.68494135,164687.47308833487,768000000.0,165710.38172781336,778000000.0,165710.38172781336,191999982.34161043,142623.5353726503
162,383999964.2448826,165710.37658458916,768000000.0,166733.28531872583,778000000.0,166733.28531872583,191999982.12158105,143509.3957859837
163,383999963.802099,166733.28007966751,768000000.0,167756.1889096383,778000000.0,167756.1889096383,191999981.90018925,144395.25619829883
164,383999963.35659057,167756.1835735628,768000000.0,168779.09250055073,778000000.0,168779.09250055073,191999981.67743504,145281.11660958928
165,383999962.9083573,168779.0870662677,768000000.0,169801.99609146314,778000000.0,169801.99609146314,191999981.45331842,146166.97701984888
166,383999962.4573992,169801.990557775,768000000.0,170824.89968237554,778000000.0,170824.89968237554,191999981.22783935,147052.83742907125
167,383999962.00371635,170824.89404807735,768000000.0,171847.803273288,778000000.0,171847.803273288,191999981.00099793,147938.6978372502
168,383999961.5473086,171847.79753716753,768000000.0,172870.70686420047,778000000.0,172870.70686420047,191999980.77279407,148824.55824437935
169,383999961.0881761,172870.70102503832,768000000.0,173893.61045511288,778000000.0,173893.61045511288,191999980.5432278,149710.41865045248
170,383999960.6263187,173893.60451168244,768000000.0,174916.5140460253,778000000.0,174916.5140460253,191999980.3122991,150596.27905546327
171,383999960.1617365,174916.50799709262,768000000.0,175939.4176369377,778000000.0,175939.4176369377,191999980.08000803,151482.13945940547
172,383999959.6944295,175939.41148126163,768000000.0,176962.32122785007,778000000.0,176962.32122785007,191999979.8463545,152367.99986227273
173,383999959.22439766,176962.31496418215,768000000.0,177985.2248187625,778000000.0,177985.2248187625,191999979.6113386,153253.8602640588
174,383999958.75164104,177985.21844584701,768000000.0,179008.12840967492,778000000.0,179008.12840967492,191999979.37496027,154139.72066475745
175,383999958.2761596,179008.12192624892,768000000.0,180031.03200058732,778000000.0,180031.03200058732,191999979.13721955,155025.5810643623
176,383999957.79795325,180031.02540538055,768000000.0,181053.93559149976,778000000.0,181053.93559149976,191999978.89811638,155911.44146286714
177,383999957.31702214,181053.92888323477,768000000.0,182076.8391824122,778000000.0,182076.8391824122,191999978.65765083,156797.3018602656
178,383999956.8333662,182076.83235980422,768000000.0,183099.74277332463,778000000.0,183099.74277332463,191999978.41582286,157683.1622565515
179,383999956.34698546,183099.73583508166,768000000.0,184122.6463642371,778000000.0,184122.6463642371,191999978.1726325,158569.02265171843
180,383999955.8578799,184122.63930905986,768000000.0,185145.5499551495,778000000.0,185145.5499551495,191999977.9280797,159454.88304576025
181,383999955.36604947,185145.54278173155,768000000.0,186168.4535460619,778000000.0,186168.4535460619,191999977.6821645,160340.74343867053
182,383999954.8714943,186168.4462530894,768000000.0,187191.3571369743,778000000.0,187191.3571369743,191999977.4348869,161226.60383044308
183,383999954.3742142,187191.34972312627,768000000.0,188214.2607278867,778000000.0,188214.2607278867,191999977.18624687,162112.46422107154
184,383999953.87420934,188214.25319183487,768000000.0,189237.16431879913,778000000.0,189237.16431879913,191999976.93624443,162998.32461054972
185,383999953.37147963,189237.15665920792,768000000.0,190260.06790971156,778000000.0,190260.06790971156,191999976.68487957,163884.18499887126
186,383999952.8660251,190260.0601252381,768000000.0,191282.971500624,778000000.0,191282.971500624,191999976.43215233,164770.04538602993
187,383999952.3578458,191282.96358991833,768000000.0,192305.8750915364,778000000.0,192305.8750915364,191999976.17806265,165655.90577201935
188,383999951.84694165,192305.86705324118,768000000.0,193328.7786824488,778000000.0,193328.7786824488,191999975.92261058,166541.76615683336
189,383999951.3333127,193328.77051519943,768000000.0,194351.68227336122,778000000.0,194351.68227336122,191999975.6657961,167427.62654046557
190,383999950.81695884,194351.67397578582,768000000.0,195374.58586427366,778000000.0,195374.58586427366,191999975.40761918,168313.4869229097
191,383999950.29788023,195374.57743499315,768000000.0,196397.48945518606,778000000.0,196397.48945518606,191999975.14807987,169199.34730415957
192,383999949.7760768,196397.4808928141,768000000.0,197420.39304609847,778000000.0,197420.39304609847,191999974.88717815,170085.20768420876
193,383999949.2515485,197420.38434924145,768000000.0,198443.2966370109,778000000.0,198443.2966370109,191999974.62491402,170971.06806305106
194,383999948.72429544,198443.28780426795,768000000.0,199466.20022792334,778000000.0,199466.20022792334,191999974.36128747,171856.92844068015
195,383999948.1943175,199466.19125788627,768000000.0,200489.10381883578,778000000.0,200489.10381883578,191999974.09629852,172742.7888170898
196,383999947.66161484,200489.09471008927,768000000.0,201512.00740974818,778000000.0,201512.00740974818,191999973.82994717,173628.64919227365
197,383999947.12618726,201511.9981608695,768000000.0,202534.91100066062,778000000.0,202534.91100066062,191999973.5622334,174514.5095662255
198,383999946.58803487,202534.90161021997,768000000.0,203557.8145915731,778000000.0,203557.8145915731,191999973.2931572,175400.369938939
199,383999946.0471577,203557.8050581332,768000000.0,204580.71818248552,778000000.0,204580.71818248552,191999973.0227186,176286.23031040782
200,383999945.50355566,204580.70850460196,768000000.0,205603.62177339793,778000000.0,205603.62177339793,191999972.75091758,177172.09068062578
201,383999944.9572288,205603.6119496191,768000000.0,206626.5253643104,778000000.0,206626.5253643104,191999972.47775415,178057.95104958653
202,383999944.40817714,206626.51539317728,768000000.0,207649.42895522283,778000000.0,207649.42895522283,191999972.20322832,178943.81141728384
203,383999943.85640067,207649.41883526923,768000000.0,208672.33254613527,778000000.0,208672.33254613527,191999971.9273401,179829.67178371135
204,383999943.3018994,208672.3222758878,768000000.0,209695.2361370477,778000000.0,209695.2361370477,191999971.65008944,180715.53214886278
205,383999942.7446732,209695.22571502562,768000000.0,210718.1397279601,778000000.0,210718.1397279601,191999971.37147635,181601.3925127319
206,383999942.18472224,210718.12915267542,768000000.0,211741.04331887254,778000000.0,211741.04331887254,191999971.09150088,182487.25287531244
207,383999941.6220465,211741.03258883004,768000000.0,212763.94690978495,778000000.0,212763.94690978495,191999970.81016302,183373.113236598
208,383999941.05664593,212763.93602348218,768000000.0,213786.85050069736,778000000.0,213786.85050069736,191999970.52746272,184258.97359658242
209,383999940.4885205,213786.83945662456,768000000.0,214809.75409160982,778000000.0,214809.75409160982,191999970.2434,185144.83395525932
210,383999939.91767025,214809.74288824986,768000000.0,215832.65768252226,778000000.0,215832.65768252226,191999969.95797488,186030.69431262245
211,383999939.3440952,215832.64631835098,768000000.0,216855.5612734347,778000000.0,216855.5612734347,191999969.67118737,186916.55466866554
212,383999938.76779526,216855.54974692053,768000000.0,217878.46486434716,778000000.0,217878.46486434716,191999969.38303742,187802.41502338235
